CustomerID,Recency,Frequency,Monetary,FirstOrderDate,LastOrderDate,AOV,FirstName,LastName,CustomerName,Email,R_Score,F_Score,M_Score,RFM_Score,Segment
1,17,5,10689.81,2026-07-10 13:23:00,2026-07-21 08:16:00.000000,2137.962,John,Williams,John Williams,john.williams1@email.com,4,1,2,412,New
2,7,5,16536.5,2025-11-11 09:58:00,2026-07-30 19:11:00.000000,3307.3,Jane,Garcia,Jane Garcia,jane.garcia2@email.com,5,1,4,514,New
3,32,5,16072.76,2026-05-01 17:26:00,2026-07-05 15:49:00.000000,3214.552,Michael,Wilson,Michael Wilson,michael.wilson3@email.com,3,1,4,314,Lost
4,6,5,12579.46,2026-07-13 19:58:00,2026-08-01 08:19:00.000000,2515.892,Emily,Thomas,Emily Thomas,emily.thomas4@email.com,5,1,2,512,New
5,189,5,22269.07,2025-03-28 13:50:00,2026-01-29 15:20:00.000000,4453.814,David,Harris,David Harris,david.harris5@email.com,1,1,5,115,Lost
6,46,5,9279.6,2024-09-26 19:53:00,2026-06-22 13:47:00.000000,1855.92,Sarah,Moore,Sarah Moore,sarah.moore6@email.com,2,1,1,211,Lost
7,19,5,13395.060000000001,2025-06-19 10:15:00,2026-07-18 18:40:00.000000,2679.012,Daniel,Walker,Daniel Walker,daniel.walker7@email.com,3,1,3,313,Lost
8,87,5,20660.739999999998,2025-09-25 08:45:00,2026-05-11 15:17:00.000000,4132.147999999999,Olivia,Young,Olivia Young,olivia.young8@email.com,2,1,5,215,Lost
9,55,5,11564.45,2026-01-08 18:45:00,2026-06-12 17:11:00.000000,2312.8900000000003,James,Johnson,James Johnson,james.johnson9@email.com,2,1,2,212,Lost
10,2,5,8911.64,2026-03-12 09:43:00,2026-08-05 14:06:00.000000,1782.328,Sophia,Jones,Sophia Jones,sophia.jones10@email.com,5,1,1,511,New
11,21,5,14276.22,2025-06-20 08:42:00,2026-07-16 17:06:00.000000,2855.2439999999997,William,Davis,William Davis,william.davis11@email.com,3,1,3,313,Lost
12,2,5,10800.17,2026-07-03 16:04:00,2026-08-05 08:29:00.000000,2160.034,Emma,Anderson,Emma Anderson,emma.anderson12@email.com,5,1,2,512,New
13,15,5,10694.710000000001,2025-08-27 13:30:00,2026-07-23 10:35:00.000000,2138.942,Joseph,White,Joseph White,joseph.white13@email.com,4,1,2,412,New
14,177,5,10552.88,2025-04-25 18:17:00,2026-02-11 08:16:00.000000,2110.576,Ava,Thompson,Ava Thompson,ava.thompson14@email.com,1,1,2,112,Lost
15,28,5,13662.24,2026-05-25 16:57:00,2026-07-10 12:42:00.000000,2732.448,Benjamin,Lewis,Benjamin Lewis,benjamin.lewis15@email.com,3,1,3,313,Lost
16,43,5,13576.02,2025-11-27 19:33:00,2026-06-24 17:52:00.000000,2715.204,Mia,Allen,Mia Allen,mia.allen16@email.com,2,1,3,213,Lost
17,9,5,11759.25,2026-01-27 15:26:00,2026-07-29 13:40:00.000000,2351.85,Lucas,Smith,Lucas Smith,lucas.smith17@email.com,4,1,2,412,New
18,263,5,10273.93,2025-01-31 15:44:00,2025-11-16 17:37:00.000000,2054.786,Charlotte,Brown,Charlotte Brown,charlotte.brown18@email.com,1,1,1,111,Lost
19,29,5,16319.28,2026-06-25 18:55:00,2026-07-09 10:33:00.000000,3263.856,Henry,Miller,Henry Miller,henry.miller19@email.com,3,1,4,314,Lost
20,15,5,16811.52,2024-12-12 13:33:00,2026-07-23 09:01:00.000000,3362.304,Amelia,Taylor,Amelia Taylor,amelia.taylor20@email.com,4,1,5,415,New
21,60,5,15345.13,2026-01-25 11:39:00,2026-06-08 08:01:00.000000,3069.026,Alexander,Jackson,Alexander Jackson,alexander.jackson21@email.com,2,2,4,224,Lost
22,1,5,15242.1,2026-08-04 15:28:00,2026-08-06 14:34:34.141568,3048.42,Harper,Martin,Harper Martin,harper.martin22@email.com,5,2,4,524,New
23,14,5,12849.48,2025-01-10 14:54:00,2026-07-24 08:29:00.000000,2569.8959999999997,Noah,Clark,Noah Clark,noah.clark23@email.com,4,2,3,423,New
24,13,5,15047.4,2026-06-25 19:01:00,2026-07-25 08:01:00.000000,3009.48,Evelyn,Hall,Evelyn Hall,evelyn.hall24@email.com,4,2,4,424,New
25,20,5,15587.32,2026-06-06 10:44:00,2026-07-18 08:39:00.000000,3117.464,Logan,King,Logan King,logan.king25@email.com,3,2,4,324,Lost
26,30,5,10468.56,2025-10-29 15:43:00,2026-07-08 09:35:00.000000,2093.712,John,Williams,John Williams,john.williams26@email.com,3,2,1,321,Lost
27,2,5,14909.17,2026-04-28 18:55:00,2026-08-04 16:05:00.000000,2981.834,Jane,Garcia,Jane Garcia,jane.garcia27@email.com,5,2,4,524,New
28,261,5,15101.06,2025-04-29 10:15:00,2025-11-18 17:49:00.000000,3020.212,Michael,Wilson,Michael Wilson,michael.wilson28@email.com,1,2,4,124,Lost
29,98,5,7837.93,2025-07-02 08:41:00,2026-04-30 15:56:00.000000,1567.586,Emily,Thomas,Emily Thomas,emily.thomas29@email.com,1,2,1,121,Lost
30,36,5,16153.630000000001,2025-01-24 15:02:00,2026-07-02 10:17:00.000000,3230.726,David,Harris,David Harris,david.harris30@email.com,2,2,4,224,Lost
31,17,5,20881.54,2025-08-12 10:19:00,2026-07-20 17:56:00.000000,4176.308,Sarah,Moore,Sarah Moore,sarah.moore31@email.com,4,2,5,425,New
32,9,5,17549.260000000002,2025-06-21 15:10:00,2026-07-28 19:03:00.000000,3509.8520000000003,Daniel,Walker,Daniel Walker,daniel.walker32@email.com,4,2,5,425,New
33,14,5,12744.640000000001,2026-04-30 12:24:00,2026-07-23 18:41:00.000000,2548.9280000000003,Olivia,Young,Olivia Young,olivia.young33@email.com,4,2,3,423,New
34,12,5,14137.23,2025-10-06 17:39:00,2026-07-25 16:44:00.000000,2827.446,James,Johnson,James Johnson,james.johnson34@email.com,4,2,3,423,New
35,44,5,11297.11,2025-11-18 13:48:00,2026-06-24 08:02:00.000000,2259.422,Sophia,Jones,Sophia Jones,sophia.jones35@email.com,2,2,2,222,Lost
36,4,5,5052.14,2025-08-02 17:53:00,2026-08-03 09:48:00.000000,1010.4280000000001,William,Davis,William Davis,william.davis36@email.com,5,2,1,521,New
37,13,5,9587.76,2026-03-05 17:51:00,2026-07-25 14:14:00.000000,1917.5520000000001,Emma,Anderson,Emma Anderson,emma.anderson37@email.com,4,2,1,421,New
38,37,5,16287.15,2025-08-09 16:14:00,2026-06-30 18:17:00.000000,3257.43,Joseph,White,Joseph White,joseph.white38@email.com,2,2,4,224,Lost
39,100,5,13223.19,2025-09-13 17:52:00,2026-04-29 10:24:00.000000,2644.638,Ava,Thompson,Ava Thompson,ava.thompson39@email.com,1,2,3,123,Lost
40,53,5,18862.03,2025-11-13 14:49:00,2026-06-15 09:14:00.000000,3772.406,Benjamin,Lewis,Benjamin Lewis,benjamin.lewis40@email.com,2,2,5,225,Lost
41,103,5,14384.07,2024-10-20 11:14:00,2026-04-26 08:41:00.000000,2876.814,Mia,Allen,Mia Allen,mia.allen41@email.com,1,3,3,133,At Risk
42,17,5,7760.03,2026-03-05 16:36:00,2026-07-20 15:36:00.000000,1552.0059999999999,Lucas,Smith,Lucas Smith,lucas.smith42@email.com,3,3,1,331,Lost
43,66,5,16435.71,2025-06-27 19:57:00,2026-06-01 15:32:00.000000,3287.142,Charlotte,Brown,Charlotte Brown,charlotte.brown43@email.com,2,3,4,234,At Risk
44,28,5,10983.67,2024-09-18 15:23:00,2026-07-10 09:26:00.000000,2196.734,Henry,Miller,Henry Miller,henry.miller44@email.com,3,3,2,332,Lost
45,57,5,13772.95,2025-03-11 18:06:00,2026-06-11 12:56:00.000000,2754.59,Amelia,Taylor,Amelia Taylor,amelia.taylor45@email.com,2,3,3,233,At Risk
46,194,5,12532.72,2024-12-10 10:43:00,2026-01-24 16:38:00.000000,2506.544,Alexander,Jackson,Alexander Jackson,alexander.jackson46@email.com,1,3,2,132,At Risk
47,1,5,7677.599999999999,2025-04-26 17:43:00,2026-08-05 17:06:00.000000,1535.52,Harper,Martin,Harper Martin,harper.martin47@email.com,5,3,1,531,Lost
48,39,5,10576.84,2026-03-26 15:25:00,2026-06-29 09:26:00.000000,2115.368,Noah,Clark,Noah Clark,noah.clark48@email.com,2,3,2,232,At Risk
49,21,5,17832.93,2026-03-09 13:38:00,2026-07-17 14:27:00.000000,3566.5860000000002,Evelyn,Hall,Evelyn Hall,evelyn.hall49@email.com,3,3,5,335,Lost
50,9,5,8865.43,2026-06-30 09:02:00,2026-07-28 15:53:00.000000,1773.086,Logan,King,Logan King,logan.king50@email.com,4,3,1,431,Lost
51,38,5,20514.27,2026-02-18 14:16:00,2026-06-30 10:36:00.000000,4102.854,John,Williams,John Williams,john.williams51@email.com,2,3,5,235,At Risk
52,169,5,17624.239999999998,2025-10-26 10:38:00,2026-02-19 10:45:00.000000,3524.8479999999995,Jane,Garcia,Jane Garcia,jane.garcia52@email.com,1,3,5,135,At Risk
53,16,5,6447.12,2026-03-14 14:25:00,2026-07-21 16:58:00.000000,1289.424,Michael,Wilson,Michael Wilson,michael.wilson53@email.com,4,3,1,431,Lost
